doi_pref,name,coci_open,crossref_close,crossref_visibility,tot_dois,deposits_flag
"10.31119","nn",0,0,nn,nn,nn
"10.3112","nn",2663,1479,nn,nn,nn
"10.31120","nn",0,0,nn,nn,nn
"10.31121","[[Tefsir Arastirmalari Dergisi (ID 16067)]]",0,0,[[open]],[["0,15"]],[["false,true"]]
"10.31122","[[SineFilozofi (ID 15933)]]",0,0,[[open]],[["0,27"]],[["false,true"]]
"10.31123","[[Akdeniz Universitesi Iletisim Fakultesi Dergisi (ID 16081)]]",0,0,[[open]],[["41,143"]],[["true,true"]]
"10.31125","[[Hacettepe Universitesi Hemsirelik Fakultesi Dergisi (ID 15987)]]",0,0,[[open]],[["0,25"]],[["false,true"]]
"10.31126","[[Akra Kultur Sanat ve Edebiyat Dergisi (ID 16060)]]",0,0,[[open]],[["25,65"]],[["true,true"]]
"10.31127","[[Turkish Journal of Engineering (ID 16017)]]",1,0,[[open]],[["0,47"]],[["false,true"]]
"10.31128","nn",0,0,nn,nn,nn
"10.31129","nn",0,0,nn,nn,nn
"10.3113","nn",13149,8836,nn,nn,nn
"10.31130","nn",0,1,nn,nn,nn
"10.31133","nn",0,0,nn,nn,nn
"10.31134","nn",0,0,nn,nn,nn
"10.31136","nn",0,0,nn,nn,nn
"10.31137","nn",0,0,nn,nn,nn
"10.31138","nn",0,0,nn,nn,nn
"10.31139","nn",0,0,nn,nn,nn
"10.3114","nn",6027,2707,nn,nn,nn
"10.31140","nn",0,0,nn,nn,nn
"10.31141","nn",0,0,nn,nn,nn
"10.31142","nn",0,0,nn,nn,nn
"10.31143","nn",0,0,nn,nn,nn
"10.31144","nn",0,0,nn,nn,nn
"10.31147","nn",0,0,nn,nn,nn
"10.31148","nn",0,0,nn,nn,nn
"10.3115","nn",65749,4463,nn,nn,nn
"10.2307","[[JSTOR (ID 1121)]]",6426926,4023765,[[open]],[["1737874,13862"]],[["true,false"]]
"10.21236","nn",23668,5006,nn,nn,nn
"10.1108","[[Emerald (ID 140)]]",1437909,313820,[[open]],[["326544,40950"]],[["true,true"]]
"10.2165","[[Springer Nature (ID 297)]]",359767,277337,[[open]],[["11021468,1230426"]],[["true,true"]]
"10.1063","[[AIP Publishing (ID 317)]]",8736352,4904576,[[open]],[["713824,55903"]],[["true,true"]]
"10.1088","nn",5041737,2265403,nn,nn,nn
"10.1787","nn",33957,7419,nn,nn,nn
"10.3399","[[Royal College of General Practitioners (ID 1987)]]",16009,2851,[[open]],[["3806,1068"]],[["true,true"]]
"10.3400","nn",905,595,nn,nn,nn
"10.3401","[[Wiley (ID 311)]]",1318,519,[[open]],[["8172784,567515"]],[["true,true"]]
"10.3402","[[Co-Action Publishing (ID 1989)]]",77245,-336,[[open]],[["1021,13"]],[["true,false"]]
"10.5962","[[Smithsonian Institution (ID 3444)]]",81886,10432,[[open]],[["154173,48"]],[["true,true"]]
"10.14352","nn",69,1,nn,nn,nn
"10.14353","nn",0,0,nn,nn,nn
"10.14354","nn",4,0,nn,nn,nn
"10.14355","nn",352,182,nn,nn,nn
"10.14356","nn",1751,2303,nn,nn,nn
"10.14357","nn",14,0,nn,nn,nn
"10.14358","nn",18402,6300,nn,nn,nn
"10.14359","nn",1379,484,nn,nn,nn
"10.2991","[[Atlantis Press (ID 1574)]]",8863,2595,[[open]],[["55956,37477"]],[["true,true"]]
"10.3389","[[Frontiers Media SA (ID 1965)]]",481946,186776,[[open]],[["73081,51092"]],[["true,true"]]
"10.2150","nn",1484,1056,nn,nn,nn
"10.21500","nn",684,247,nn,nn,nn
"10.21501","nn",12,0,nn,nn,nn
"10.12702","nn",1875,-86,nn,nn,nn
"10.12703","[[F1000 ( Faculty of 1000 Ltd) (ID 2560)]]",2589,863,[[limited]],[["185094,27913"]],[["true,true"]]
"10.12704","nn",2,2,nn,nn,nn
"10.12705","nn",2187,512,nn,nn,nn
"10.12706","nn",16,5,nn,nn,nn
"10.12707","nn",208,34,nn,nn,nn
"10.12709","nn",10,0,nn,nn,nn
"10.1271","nn",129529,125713,nn,nn,nn
"10.18209","nn",185,49,nn,nn,nn
"10.18211","nn",156,-1,nn,nn,nn
"10.18212","nn",0,0,nn,nn,nn
"10.18213","nn",22,2,nn,nn,nn
"10.18214","nn",7,0,nn,nn,nn
"10.18215","nn",64,-2,nn,nn,nn
"10.18216","nn",5,5,nn,nn,nn
"10.18217","nn",4,0,nn,nn,nn
"10.18218","nn",25,11,nn,nn,nn
"10.18219","nn",3,4,nn,nn,nn
"10.18220","nn",0,0,nn,nn,nn
"10.18221","nn",2,0,nn,nn,nn
"10.18222","nn",581,-104,nn,nn,nn
"10.18223","nn",8,1,nn,nn,nn
"10.18224","nn",5,1,nn,nn,nn
